Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),Start Date,End Date,Targeting Type,State,Campaign State (Informational only),Ad Group State (Informational only),Daily Budget,SKU,ASIN (Informational only),Eligibility Status (Informational only),Reason for Ineligibility (Informational only),Ad Group Default Bid,Ad Group Default Bid (Informational only),Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,ACOS,CPC,ROAS,status
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,490605687503526,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fogger,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,512845021527912,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fogger,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,473142050963213,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fipronil,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,448851442901636,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fipronil,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,485791667395605,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fipronil,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,477276414659242,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fipronil,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,342646253867704,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fipronil,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,324735936272121,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fogger,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,501437786869525,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fogger,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,410783536815226,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,fogger,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,548000948834499,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,472702180396736,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,357023382823516,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,526361916492253,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,463412854130043,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,308283249391384,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,445064641524759,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,438936077743125,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,285314747389245,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,552126239492568,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,aquashade pond dye,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,342101438506177,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,286843065618690,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,347226698912607,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,303539460852025,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,285348559999761,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,333206275362000,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,500919894771523,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,356650622040578,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,393585915468133,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,540397919110429,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,479280513767011,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,386766435191227,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,333658570266843,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,385744365229159,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,399806549819981,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,509158905626117,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,319604502482452,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,445132639870794,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,489470167007005,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,469360700862013,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,360770841852240,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,306437187899502,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b002y6dnck,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,422125736189908,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,467230332208891,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,418941187551746,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,487866597074101,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,321779493312785,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,528802106638549,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,355002204064822,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,360850786299752,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,465496827681412,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,382860184975373,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,476121536790258,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,465737094576126,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,482509718290782,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,353429590049571,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,332265996234166,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,b00555sr9q,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,485237995410453,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,foggers,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,480654215974794,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,alpine cockroach gel bait,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,403200801237983,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,ant killer outdoor,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,467662163486364,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,advion cockroach gel bait,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,496989473868153,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,advion cockroach gel bait,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,483870840171767,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,ant bait gel,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,348306416557254,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,advion cockroach gel bait,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
